OrderId,CustomerId,CustomerEmail,RestaurantId,RestaurantName,GroupSize,ItemCount,OrderTotalEUR,Status,DeliveryMinutes,OrderDateTime
ORD-000001,003DQ00000Gq3E1YAJ,tim.smit26@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,40.28,Delivered,34,2026-01-25 06:49:00
ORD-000002,003DQ00000Gq3EMYAZ,noor.meijer47@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,72.3,Refunded,57,2026-01-28 18:07:00
ORD-000003,003DQ00000Gq3EDYAZ,joost.dijkstra38@example.com,001DQ00000N9TWWYA3,Athena Grill,12,6,82.03,Refunded,51,2025-08-10 12:45:00
ORD-000004,003DQ00000Gq3EJYAZ,wout.bakker44@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,5.65,Delivered,53,2025-03-31 16:00:00
ORD-000005,003DQ00000Gq3DcYAJ,sanne.vries1@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,9.35,Delivered,47,2026-03-12 06:57:00
ORD-000006,003DQ00000Gq3E9YAJ,sven.leeuwen34@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,25.2,Delivered,31,2025-07-22 20:40:00
ORD-000007,003DQ00000Gq3ELYAZ,teun.smit46@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,54.81,Delivered,25,2025-06-14 15:04:00
ORD-000008,003DQ00000Gq3DdYAJ,daan.jansen2@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,89.19,Delivered,57,2025-06-25 16:10:00
ORD-000009,003DQ00000Gq3DcYAJ,sanne.vries1@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,8.28,Delivered,21,2026-01-26 11:15:00
ORD-000010,003DQ00000Gq3EGYAZ,yara.vries41@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,8.28,Delivered,40,2025-08-05 15:07:00
ORD-000011,003DQ00000Gq3EKYAZ,britt.visser45@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,22.82,Refunded,27,2026-05-03 01:54:00
ORD-000012,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,12.72,Delivered,29,2026-02-23 04:14:00
ORD-000013,003DQ00000Gq3DnYAJ,thomas.peters12@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,76.19,Delivered,29,2026-02-24 04:58:00
ORD-000014,003DQ00000Gq3EJYAZ,wout.bakker44@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,18.13,Delivered,39,2025-03-16 17:06:00
ORD-000015,003DQ00000Gq3DpYAJ,milan.leeuwen14@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,8.28,Delivered,44,2026-01-22 13:37:00
ORD-000016,003DQ00000Gq3DzYAJ,ruben.bakker24@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,82.69,Delivered,59,2025-04-05 06:11:00
ORD-000017,003DQ00000Gq3EMYAZ,noor.meijer47@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,84.61,Delivered,46,2025-11-15 03:36:00
ORD-000018,003DQ00000Gq3E2YAJ,lara.meijer27@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,24.17,Cancelled,26,2025-09-20 02:22:00
ORD-000019,003DQ00000Gq3DsYAJ,fleur.wit17@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,39.94,Delivered,42,2026-03-18 09:55:00
ORD-000020,003DQ00000Gq3EJYAZ,wout.bakker44@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,22.38,Delivered,18,2026-03-27 06:38:00
ORD-000021,003DQ00000Gq3EIYAZ,sterre.dijk43@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,22.38,Refunded,60,2025-12-30 23:42:00
ORD-000022,003DQ00000Gq3DmYAJ,lotte.vos11@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,24.83,Delivered,60,2025-09-25 22:25:00
ORD-000023,003DQ00000Gq3E1YAJ,tim.smit26@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,33.19,Cancelled,37,2025-01-04 03:50:00
ORD-000024,003DQ00000Gq3EJYAZ,wout.bakker44@example.com,001DQ00000N9TWWYA3,Athena Grill,12,6,91.87,Cancelled,58,2025-06-21 17:26:00
ORD-000025,003DQ00000Gq3EFYAZ,pim.graaf40@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,51.16,Delivered,37,2025-10-22 06:50:00
ORD-000026,003DQ00000Gq3DzYAJ,ruben.bakker24@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,65.45,Delivered,26,2025-10-30 06:37:00
ORD-000027,003DQ00000Gq3DkYAJ,sara.boer9@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,78.3,Delivered,35,2026-04-03 23:42:00
ORD-000028,003DQ00000Gq3E5YAJ,gijs.bos30@example.com,001DQ00000N9TWWYA3,Athena Grill,12,6,90.74,Delivered,47,2026-01-27 06:16:00
ORD-000029,003DQ00000Gq3E9YAJ,sven.leeuwen34@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,5.05,Delivered,39,2025-01-16 03:55:00
ORD-000030,003DQ00000Gq3EHYAZ,koen.jansen42@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,85.03,Delivered,26,2025-01-05 19:26:00
ORD-000031,003DQ00000Gq3EDYAZ,joost.dijkstra38@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,19.12,Cancelled,32,2025-02-18 13:33:00
ORD-000032,003DQ00000Gq3EBYAZ,bas.brouwer36@example.com,001DQ00000N9TWWYA3,Athena Grill,12,6,71.55,Delivered,35,2025-10-27 05:24:00
ORD-000033,003DQ00000Gq3DtYAJ,liam.dijkstra18@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,48.85,Refunded,40,2026-01-09 02:24:00
ORD-000034,003DQ00000Gq3EHYAZ,koen.jansen42@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,12.72,Delivered,27,2025-03-25 23:08:00
ORD-000035,003DQ00000Gq3EAYAZ,lieke.dekker35@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,67.82,Delivered,21,2025-03-30 01:07:00
ORD-000036,003DQ00000Gq3DxYAJ,jesse.jansen22@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,9.34,Delivered,49,2026-03-23 06:25:00
ORD-000037,003DQ00000Gq3EHYAZ,koen.jansen42@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,9.34,Delivered,54,2026-06-18 00:25:00
ORD-000038,003DQ00000Gq3E4YAJ,maud.boer29@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,89.7,Cancelled,43,2025-03-24 05:30:00
ORD-000039,003DQ00000Gq3DdYAJ,daan.jansen2@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,10.81,Delivered,53,2025-11-04 05:25:00
ORD-000040,003DQ00000Gq3DuYAJ,sophie.smits19@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,21.08,Delivered,28,2025-10-25 04:13:00
ORD-000041,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,26.12,Cancelled,32,2025-11-21 11:25:00
ORD-000042,003DQ00000Gq3EBYAZ,bas.brouwer36@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,53.85,Delivered,51,2025-06-04 23:40:00
ORD-000043,003DQ00000Gq3E2YAJ,lara.meijer27@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,12.19,Delivered,54,2025-02-25 07:14:00
ORD-000044,003DQ00000Gq3DiYAJ,tess.meijer7@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,45.91,Delivered,58,2026-03-22 00:08:00
ORD-000045,003DQ00000Gq3DvYAJ,levi.graaf20@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,20.09,Delivered,18,2025-03-04 08:41:00
ORD-000046,003DQ00000Gq3EHYAZ,koen.jansen42@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,5.04,Delivered,28,2025-02-06 17:10:00
ORD-000047,003DQ00000Gq3EDYAZ,joost.dijkstra38@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,20.48,Delivered,50,2025-08-27 11:39:00
